Date;avg_deal_price;lowest_deal_price;num_bidder;num_plates
2002.1;14735;13600;3718;1400
2002.2;14057;13100;4590;1800
2002.3;14662;14300;5190;2000
2002.4;16334;16000;4806;2300
2002.5;18357;17800;4665;2350
2002.6;20178;19600;4502;2800
2002.7;20904;19800;3774;3000
2002.8;21601;21000;4640;3000
2002.9;24040;23600;4393;3200
2002.10;27040;26400;4661;3200
2002.11;31721;30800;4021;3200
2002.12;27848;100;3525;3600
2003.1;24267;18800;9442;3000
2003.2;25254;23800;12030;3000
2003.3;29551;28800;11219;3000
2003.4;34845;34100;8794;3300
2003.5;36903;35000;14634;3800
2003.6;37667;36100;15507;5500
2003.7;38269;36900;11929;6000
2003.8;39369;38500;9315;4500
2003.9;38728;28800;8532;6650
2003.10;34842;32800;9383;4500
2003.11;34284;33100;9849;5042
2003.12;38054;37100;10491;4776
2004.1;39516;38000;8663;5000
2004.2;40053;39600;10156;4800
2004.3;43333;43000;9950;4800
2004.4;45492;44200;8150;5500
2004.5;34226;10800;8114;6527
2004.6;21001;17800;19233;6233
2004.7;23544;21800;14464;6600
2004.8;25991;25100;15506;6800
2004.9;30033;29300;10634;6640
2004.10;29768;28000;9519;6600
2004.11;27620;26000;9188;6600
2004.12;30282;29300;9005;5500
2005.1;32520;28500;6208;5500
2005.2;32425;31700;8949;3800
2005.3;34684;34300;9117;4000
2005.4;37355;36800;8113;5000
2005.5;35661;35000;9673;5833
2005.6;37479;37000;8409;5690
2005.7;38378;37900;8777;6326
2005.8;35905;25000;7520;6829
2005.9;28927;26500;10972;6700
2005.10;26385;25200;11167;6000
2005.11;30320;29800;13633;5700
2005.12;36749;35200;8351;5700
2006.01;31220;26900;5907;5000
2006.2;34887;34200;12367;3800
2006.3;38932;38500;8904;4500
2006.4;38326;37500;7888;5000
2006.5;38139;37700;8301;4500
2006.6;39752;39500;8478;4500
2006.7;39966;39600;8966;5500
2006.8;40459;39900;9190;6200
2006.9;41601;37000;7064;6500
2006.10;37899;36300;11237;6500
2006.11;38460;37800;110234;6000
2006.12;40518;39800;9477;6500
2007.1;40974;38500;6587;6000
2007.2;40473;39100;5056;3500
2007.3;41573;41100;10168;4000
2007.4;43623;43300;10523;5500
2007.5;44853;44500;10273;6000
2007.6;47711;47200;11478;6000
2007.7;46581;45200;10327;5500
2007.8;46897;46500;12943;8000
2007.9;49631;48600;10561;8500
2007.10;51000;50500;10715;7500
2007.11;54317;53800;10596;7500
2007.12;56042;50000;10356;7500
2008.01;23370;8100;20539;16000
2008.03;32169;31300;63534;9300
2008.04;37659;37300;37072;9000
2008.05;36047;34400;26341;8200
2008.06;34947;33900;21208;7700
2008.07;34491;33800;16783;6800
2008.08;36460;35900;13451;6000
2008.09;31788;29300;11002;6500
2008.10;33224;32600;11882;5000
2008.11;24351;21800;10170;5500
2008.12;31665;31000;16801;4500
2009.1;29399;28600;16544;5200
2009.2;33394;33000;16848;5200
2009.3;27552;26600;18575;6000
2009.4;28724;28300;17654;6500
2009.5;29100;28500;16471;7200
2009.6;30363;30000;17433;8000
2009.7;32522;32100;17220;8000
2009.8;36231;36000;18750;8000
2009.9;29500;27200;14906;8500
2009.10;34402;33900;22006;8000
2009.11;35317;34900;21902;8000
2009.12;37593;36900;18577;8000
2010.1;38311;37800;18975;8000
2010.2;38620;38300;18810;7500
2010.3;39882;39600;17704;8000
2010.4;41637;41000;17313;8500
2010.5;42262;41900;16324;8500
2010.6;40380;39200;16252;9200
2010.7;39362;38400;13389;9000
2010.8;40169;39800;16855;9000
2010.9;42180;41800;15198;9000
2010.10;43271;43000;14941;9000
2010.11;45291;44900;13429;8500
2010.12;15970;10400;11224;9000
2011.1;38771;38300;30675;8000
2011.2;44627;44200;25104;7500
2011.3;46657;46200;25014;8000
2011.4;47399;46300;22326;8000
2011.5;47700;47400;25708;9000
2011.6;48855;48500;22474;9000
2011.7;51174;50900;21852;9000
2011.8;52228;51000;21544;9000
2011.9;52622;52200;22268;9500
2011.10;54008;53800;19415;9000
2011.11;47635;45700;20050;9000
2011.12;51437;51000;26531;8500
2012.1;53195;52800;24354;8000
2012.2;55632;55400;23391;8000
2012.3;58625;58300;24897;8000
2012.4;61626;61000;22706;8500
2012.5;64367;64000;24230;9300
2012.6;58227;55800;24774;9500
2012.7;58271;57700;26526;9500
2012.8;62559;62100;21425;9500
2012.9;66425;65700;19114;9500
2012.10;66708;65200;19921;9500
2012.11;66946;66400;19120;9500
2012.12;69346;68900;18244;9500
2013.1;75332;75000;20857;9000
2013.2;83571;83300;24651;9000
2013.3;91898;90800;23589;9000
2013.4;84101;83900;26174;11000
2013.5;80803;80700;22224;9000
2013.6;77823;77600;21482;9000
2013.7;76465;76300;21811;9000
2013.8;74939;74700;22650;9000
2013.9;73492;73400;35154;9000
2013.10;83723;82300;28887;10000
2013.11;75717;75500;38220;8500
2013.12;76093;76000;39625;8500
2014.1;73501;73500;41946;8100
2014.2;73357;73200;45758;7400
2014.3;73872;73800;61853;7400
2014.4;74113;74000;94241;8200
2014.5;74503;74400;114121;7400
2014.6;73896;73800;135677;7400
2014.7;74680;74600;136098;7400
2014.8;73785;73600;121550;7400
2014.9;73875;73800;122219;8300
2014.10;74075;74000;105532;7400
2014.11;73633;73500;95595;7400
2014.12;73687;73600;96972;7447
2015.1;74216;74000;98203;7990
2015.2;76618;76500;103224;7653
2015.3;74830;74600;132690;7406
2015.4;80759;80600;152298;8288
2015.5;79099;79000;156007;7482
2015.6;80020;80000;172205;7441
2015.7;83171;83100;166302;7531
2015.8;82642;82600;166939;7454
2015.9;82172;82100;165765;8727
2015.10;85424;85300;170995;7763
2015.11;84703;84600;169159;7514
2015.12;84572;84500;179133;7698
2016.1;82352;82200;187533;9409
2016.2;83244;83200;196470;8363
2016.3;83148;83100;221109;8310
2016.4;85127;85100;256897;11829
2016.5;85058;85000;277889;11598
2016.6;84483;84400;275438;11546
2016.7;87235;87200;240750;11475
2016.8;86946;86900;251188;11549
2016.9;86523;86500;229544;12889
2016.10;88359;88300;213212;11621
2016.11;88665;88600;215424;11549
2016.12;88412;88300;219882;12261
2017.1;87685;87600;232101;12215
2017.2;88240;88200;251717;10157
2017.3;87916;87800;262010;10356
2017.4;89850;89800;252273;12196
2017.5;90209;90100;270197;10316
2017.6;89532;89400;244349;10312
2017.7;92250;92200;269189;10325
2017.8;91629;91600;256083;10558
2017.9;91415;91300;250566;12413
2017.10;93540;93500;244868;11388
2017.11;93130;93100;226911;11002
2017.12;92848;92800;228148;12147
2018.01;87936;87900;226316;12183
2018.02;87660;87600;220831;11098
